일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2024/02/21","407000","3000","0.74","402500","408000","398000","153418","61943906000","95238000000000","234000000"
"2024/02/20","404000","6500","1.64","397500","404500","392000","157923","63104987000","94536000000000","234000000"
"2024/02/19","397500","-12500","-3.05","412000","412500","395500","289496","115932894000","93015000000000","234000000"
"2024/02/16","410000","14500","3.67","401500","412000","401000","354959","144830615000","95940000000000","234000000"
"2024/02/15","395500","7500","1.93","393500","397500","389000","192353","75698271500","92547000000000","234000000"
"2024/02/14","388000","-5500","-1.40","390000","390000","380000","184384","70947275500","90792000000000","234000000"
"2024/02/13","393500","-500","-0.13","395000","395500","390000","178139","70038819500","92079000000000","234000000"
"2024/02/08","394000","8000","2.07","397500","397500","386500","314399","122964472500","92196000000000","234000000"
"2024/02/07","386000","9000","2.39","382000","394000","382000","244380","95047875500","90324000000000","234000000"
"2024/02/06","377000","-12000","-3.08","385000","387500","376000","196337","74427512500","88218000000000","234000000"
"2024/02/05","389000","1500","0.39","389000","393000","385500","210367","81933202000","91026000000000","234000000"
"2024/02/02","387500","6000","1.57","384500","392500","381500","261741","101483968500","90675000000000","234000000"
"2024/02/01","381500","500","0.13","378000","383000","373000","232165","87826540500","89271000000000","234000000"
"2024/01/31","381000","6000","1.60","379000","387500","377000","212973","81257200000","89154000000000","234000000"
"2024/01/30","375000","-2500","-0.66","382500","387500","373000","222999","84842319000","87750000000000","234000000"
"2024/01/29","377500","-3500","-0.92","385000","387000","377500","216167","82678686000","88335000000000","234000000"
"2024/01/26","381000","13000","3.53","364000","392000","362000","331129","126622473000","89154000000000","234000000"
"2024/01/25","368000","-12500","-3.29","375000","375500","363000","317036","116463998500","86112000000000","234000000"
"2024/01/24","380500","7000","1.87","372500","385000","370500","218985","83300353500","89037000000000","234000000"
"2024/01/23","373500","1500","0.40","370500","379000","370500","170955","63990460500","87399000000000","234000000"
"2024/01/22","372000","-11500","-3.00","383500","387000","371500","214410","80373868000","87048000000000","234000000"
"2024/01/19","383500","-7000","-1.79","390500","397000","378500","263399","101330009500","89739000000000","234000000"
"2024/01/18","390500","500","0.13","390000","399000","387000","190739","74689593000","91377000000000","234000000"
"2024/01/17","390000","-10500","-2.62","400000","400500","387000","263868","103134871000","91260000000000","234000000"
"2024/01/16","400500","1000","0.25","396500","404000","394500","246497","98703830500","93717000000000","234000000"
"2024/01/15","399500","-13500","-3.27","409000","409500","397000","283565","113597242500","93483000000000","234000000"
"2024/01/12","413000","-2500","-0.60","415000","415500","409000","151154","62137642680","96642000000000","234000000"
"2024/01/11","415500","5000","1.22","409500","420000","409500","234974","97839120500","97227000000000","234000000"
"2024/01/10","410500","-7000","-1.68","417500","417500","405500","195832","80329768000","96057000000000","234000000"
"2024/01/09","417500","2500","0.60","419500","419500","415000","141094","58784467500","97695000000000","234000000"
"2024/01/08","415000","-1000","-0.24","419500","419500","414500","112716","46906029500","97110000000000","234000000"
"2024/01/05","416000","-3000","-0.72","416500","420500","414500","138131","57654205000","97344000000000","234000000"
"2024/01/04","419000","3000","0.72","414000","419000","410000","131106","54480683500","98046000000000","234000000"
"2024/01/03","416000","-13500","-3.14","425500","426000","416000","196510","82332245000","97344000000000","234000000"
"2024/01/02","429500","2000","0.47","425000","429500","422000","152929","65399307000","100503000000000","234000000"
"2023/12/28","427500","6500","1.54","421500","427500","421000","190673","80927938000","100035000000000","234000000"
"2023/12/27","421000","5500","1.32","417000","422000","417000","130675","54811264500","98514000000000","234000000"
"2023/12/26","415500","-4000","-0.95","423500","423500","415000","150973","62927677500","97227000000000","234000000"
"2023/12/22","419500","-3500","-0.83","425500","425500","419000","181449","76376615500","98163000000000","234000000"
"2023/12/21","423000","-9500","-2.20","428500","430000","421000","198534","84519484500","98982000000000","234000000"
"2023/12/20","432500","6500","1.53","429000","434000","428000","243818","105196832000","101205000000000","234000000"
"2023/12/19","426000","4000","0.95","422000","428000","419000","195288","82907799000","99684000000000","234000000"
"2023/12/18","422000","0","0.00","429500","430000","422000","207795","88163935000","98748000000000","234000000"
"2023/12/15","422000","-500","-0.12","426500","431000","422000","341008","144990527500","98748000000000","234000000"
"2023/12/14","422500","12500","3.05","419500","422500","415000","330547","138762390000","98865000000000","234000000"
"2023/12/13","410000","-14500","-3.42","423000","424500","409500","260657","107996546000","95940000000000","234000000"
"2023/12/12","424500","-4000","-0.93","427000","430500","424000","174436","74412896500","99333000000000","234000000"
"2023/12/11","428500","-2000","-0.46","434000","434000","427000","139380","59879431000","100269000000000","234000000"
"2023/12/08","430500","4000","0.94","431500","436000","427500","156894","67650752000","100737000000000","234000000"
"2023/12/07","426500","2000","0.47","428000","429500","420000","166343","70694999000","99801000000000","234000000"
"2023/12/06","424500","-5500","-1.28","430500","435000","424500","178434","76328399000","99333000000000","234000000"
"2023/12/05","430000","0","0.00","425000","434500","423000","156615","67490991500","100620000000000","234000000"
"2023/12/04","430000","1500","0.35","429500","436000","428000","238728","103002823000","100620000000000","234000000"
"2023/12/01","428500","-26000","-5.72","444000","448000","428500","498100","215049437500","100269000000000","234000000"
"2023/11/30","454500","7500","1.68","444000","454500","440500","289478","130212963000","106353000000000","234000000"
"2023/11/29","447000","12000","2.76","440000","447500","434000","203907","90302184000","104598000000000","234000000"
"2023/11/28","435000","500","0.12","436500","440500","434000","140561","61353497500","101790000000000","234000000"
"2023/11/27","434500","-8000","-1.81","446000","447500","432500","154442","67655960000","101673000000000","234000000"
"2023/11/24","442500","-6000","-1.34","449500","452500","442500","134085","59823316500","103545000000000","234000000"
"2023/11/23","448500","6500","1.47","440500","450500","440500","142291","63630154000","104949000000000","234000000"
"2023/11/22","442000","-5000","-1.12","443000","446000","437000","136059","59985468000","103428000000000","234000000"
"2023/11/21","447000","3000","0.68","450000","452000","444000","158805","71121360000","104598000000000","234000000"
"2023/11/20","444000","12000","2.78","432000","445500","431500","250872","110859725000","103896000000000","234000000"
"2023/11/17","432000","-10500","-2.37","436000","437000","428000","223340","96405294500","101088000000000","234000000"
"2023/11/16","442500","-9000","-1.99","447500","449500","439000","186484","82756574500","103545000000000","234000000"
"2023/11/15","451500","14500","3.32","460000","460000","446000","354065","160238622500","105651000000000","234000000"
"2023/11/14","437000","21500","5.17","424500","444000","420500","318068","137961081500","102258000000000","234000000"
"2023/11/13","415500","4500","1.09","413000","425000","408000","258047","106825026500","97227000000000","234000000"
"2023/11/10","411000","-18000","-4.20","418500","422000","411000","290145","120356419400","96174000000000","234000000"
"2023/11/09","429000","-8500","-1.94","439000","447000","426500","348224","150234899000","100386000000000","234000000"
"2023/11/08","437500","-5500","-1.24","446000","459500","437500","367858","164492835250","102375000000000","234000000"
"2023/11/07","443000","-50500","-10.23","488500","488500","440500","825182","378112795000","103662000000000","234000000"
"2023/11/06","493500","91500","22.76","451500","500000","435000","1894906","898455121000","115479000000000","234000000"
"2023/11/03","402000","10500","2.68","402500","404500","396500","442376","177315049250","94068000000000","234000000"
"2023/11/02","391500","14000","3.71","383500","394000","380000","485126","188465974500","91611000000000","234000000"
"2023/11/01","377500","-8000","-2.08","389500","391500","375500","348415","133134628000","88335000000000","234000000"
"2023/10/31","385500","-19500","-4.81","404500","404500","382500","719190","278447497000","90207000000000","234000000"
"2023/10/30","405000","5000","1.25","397000","413000","397000","342974","139401625378","94770000000000","234000000"
"2023/10/27","400000","500","0.13","399500","411000","396500","500087","200973559500","93600000000000","234000000"
"2023/10/26","399500","-10000","-2.44","398000","407000","395000","534523","214846162277","93483000000000","234000000"
"2023/10/25","409500","-39000","-8.70","449000","449500","409000","1005968","424284773344","95823000000000","234000000"
"2023/10/24","448500","12000","2.75","439500","449000","423000","393138","170993221000","104949000000000","234000000"
"2023/10/23","436500","0","0.00","438000","442500","430500","296136","129547941500","102141000000000","234000000"
"2023/10/20","436500","-16000","-3.54","445500","446000","435500","363181","159386857500","102141000000000","234000000"
"2023/10/19","452500","-12500","-2.69","455500","457000","450000","358437","162159896500","105885000000000","234000000"
"2023/10/18","465000","-10000","-2.11","471500","472500","462000","317384","147612517000","108810000000000","234000000"
"2023/10/17","475000","1000","0.21","479500","482500","474000","189464","90428509000","111150000000000","234000000"
"2023/10/16","474000","-10000","-2.07","479500","481500","471500","255899","121507757500","110916000000000","234000000"
"2023/10/13","484000","-9500","-1.93","490000","490000","480000","300483","145403987500","113256000000000","234000000"
"2023/10/12","493500","1500","0.30","494000","501000","490000","477829","236762862200","115479000000000","234000000"
"2023/10/11","492000","33500","7.31","464500","496500","464500","670584","326706239693","115128000000000","234000000"
"2023/10/10","458500","-5500","-1.19","467500","473000","458000","344073","159540116500","107289000000000","234000000"
"2023/10/06","464000","-3500","-0.75","468000","476500","462500","205780","96161043500","108576000000000","234000000"
"2023/10/05","467500","11500","2.52","468500","477000","463000","370971","174009760859","109395000000000","234000000"
"2023/10/04","456000","-20500","-4.30","467000","471500","455500","423482","194537825500","106704000000000","234000000"
"2023/09/27","476500","1000","0.21","469500","476500","466500","256074","120706253500","111501000000000","234000000"
"2023/09/26","475500","-500","-0.11","471500","479000","468500","252369","119641812000","111267000000000","234000000"
"2023/09/25","476000","-15000","-3.05","491500","491500","461500","410299","193943505000","111384000000000","234000000"
"2023/09/22","491000","4000","0.82","479000","495000","478500","249462","121714218500","114894000000000","234000000"
"2023/09/21","487000","-12500","-2.50","497000","497500","486000","292854","143514946000","113958000000000","234000000"
"2023/09/20","499500","3000","0.60","495000","502000","494000","153389","76425689000","116883000000000","234000000"
"2023/09/19","496500","-10500","-2.07","508000","511000","496000","209840","104877762000","116181000000000","234000000"
"2023/09/18","507000","-7000","-1.36","513000","514000","505000","164941","83683213000","118638000000000","234000000"
"2023/09/15","514000","6000","1.18","506000","521000","504000","515495","265186657000","120276000000000","234000000"
"2023/09/14","508000","13500","2.73","496500","511000","495000","294550","148829451000","118872000000000","234000000"
"2023/09/13","494500","-5000","-1.00","491000","502000","490000","271068","134143723000","115713000000000","234000000"
"2023/09/12","499500","-8500","-1.67","513000","516000","499500","300881","151276093740","116883000000000","234000000"
"2023/09/11","508000","-1000","-0.20","512000","512000","505000","159612","81159399000","118872000000000","234000000"
"2023/09/08","509000","-8000","-1.55","520000","521000","505000","287513","146708510000","119106000000000","234000000"
"2023/09/07","517000","-10000","-1.90","523000","529000","514000","308430","160111497000","120978000000000","234000000"
"2023/09/06","527000","-9000","-1.68","537000","540000","526000","189937","101131382000","123318000000000","234000000"
"2023/09/05","536000","6000","1.13","528000","537000","528000","156600","83466075417","125424000000000","234000000"
"2023/09/04","530000","8000","1.53","522000","531000","520000","218035","115019646148","124020000000000","234000000"
"2023/09/01","522000","-22000","-4.04","544000","544000","520000","496771","260888083000","122148000000000","234000000"
"2023/08/31","544000","-9000","-1.63","554000","554000","543000","1211809","660053689000","127296000000000","234000000"
"2023/08/30","553000","1000","0.18","557000","558000","550000","224096","124052709000","129402000000000","234000000"
"2023/08/29","552000","-1000","-0.18","554000","555000","546000","225090","123875448000","129168000000000","234000000"
"2023/08/28","553000","7000","1.28","550000","553000","542000","246291","135548967801","129402000000000","234000000"
"2023/08/25","546000","11000","2.06","527000","549000","525000","249493","135513119000","127764000000000","234000000"
"2023/08/24","535000","10000","1.90","532000","537000","523000","191114","101285977000","125190000000000","234000000"
"2023/08/23","525000","-14000","-2.60","535000","538000","525000","191350","101192294000","122850000000000","234000000"
"2023/08/22","539000","13000","2.47","531000","542000","531000","195045","104927963000","126126000000000","234000000"
"2023/08/21","526000","-3000","-0.57","530000","534000","522000","251626","132693989000","123084000000000","234000000"